video_file,frame_num,mean_temp,std_temp,max_temp,min_temp,label_name,label,seg_method,n_segments,seg0_pixel_count,seg0_percentage,seg0_mean_intensity,seg0_std_intensity,seg1_pixel_count,seg1_percentage,seg1_mean_intensity,seg1_std_intensity,seg2_pixel_count,seg2_percentage,seg2_mean_intensity,seg2_std_intensity,seg3_pixel_count,seg3_percentage,seg3_mean_intensity,seg3_std_intensity
MOV_12770,0,120.68625,51.76736,255.0,3.0,dry,0,kmeans,4,79746,25.958984375,55.0516013342362,20.34250917139841,74514,24.255859375,187.54196526827172,15.021233450209895,77496,25.2265625,100.72983121709508,7.13055746415141,75444,24.55859375,144.53124171570965,15.930812182010234
MOV_12770,30,115.54534,49.836132,255.0,0.0,dry,0,kmeans,4,72979,23.756184895833332,180.32523054577345,16.770868478674224,79290,25.810546875,95.7859629209232,10.273751171404397,76290,24.833984375,139.34777821470703,14.485757962618719,78641,25.599283854166664,52.26104703653311,16.98583555334531
MOV_12770,60,136.426,44.84406,255.0,0.0,dry,0,kmeans,4,71744,23.354166666666668,161.3275535236396,8.459612500459412,77098,25.097005208333336,74.7908895172378,23.12630979168839,81947,26.675455729166668,185.07940498126837,13.967853625176094,76411,24.873372395833336,123.05623535878343,11.669718134978622
MOV_12770,90,127.27248,46.67647,255.0,0.0,dry,0,kmeans,4,77188,25.126302083333336,106.98449240814634,9.137701897405975,77544,25.2421875,150.1784664190653,13.705558157163585,77462,25.215494791666664,67.78390694792286,18.47875692921275,75006,24.416015625,185.90598085486494,15.224080198282897
MOV_12770,120,119.87448,48.48706,255.0,0.0,dry,0,kmeans,4,76238,24.817057291666668,179.82256879771242,17.908388880618645,78604,25.587239583333332,56.03371329703323,19.69815628935803,75570,24.599609375,141.71550879978827,11.187461981759437,76788,24.99609375,104.21177788196073,10.574400275657032
MOV_12770,150,135.43839,45.526646,255.0,0.0,dry,0,kmeans,4,73563,23.9462890625,71.2478419857809,24.580860749407297,76140,24.78515625,159.80851063829786,8.67911914175538,78420,25.527343749999996,121.68727365467993,11.247969410160994,79077,25.741210937499996,185.32479734941893,14.517534346659023
MOV_12770,180,135.67104,46.49959,255.0,0.0,dry,0,kmeans,4,76734,24.978515625,186.60323976333828,14.85479436452447,78275,25.480143229166668,122.96716703928458,11.70097442720203,76347,24.8525390625,71.42818971275885,26.06078646693848,75844,24.688802083333332,161.9211275776594,8.658364590048729
MOV_12770,210,111.91909,51.22272,255.0,0.0,dry,0,kmeans,4,79287,25.809570312500004,47.87855512252955,16.332002775851947,75974,24.731119791666668,133.18195698528444,15.018831742277015,78518,25.559244791666668,91.94509539213938,10.114495401253645,73421,23.900065104166668,180.434603178927,18.15212726251992
MOV_12770,240,126.479324,47.933758,255.0,0.0,dry,0,kmeans,4,75448,24.559895833333336,151.12309140069982,12.219404918636755,78786,25.646484375,63.201622115604295,20.948536169083898,76532,24.912760416666664,183.8760649140229,15.508397532545365,76434,24.880859375,109.90798597482795,9.698445273185339
MOV_12770,270,122.23336,49.191,255.0,0.0,dry,0,kmeans,4,76363,24.857747395833332,145.10106988986814,14.268174059524547,75681,24.6357421875,57.109935122421746,19.892647145203966,77838,25.337890624999996,103.02908605051518,9.430480758260176,77318,25.168619791666668,182.7261698440208,15.42175993119061
