video_file,frame_num,mean_temp,std_temp,max_temp,min_temp,label_name,label,seg_method,n_segments,seg0_pixel_count,seg0_percentage,seg0_mean_intensity,seg0_std_intensity,seg1_pixel_count,seg1_percentage,seg1_mean_intensity,seg1_std_intensity,seg2_pixel_count,seg2_percentage,seg2_mean_intensity,seg2_std_intensity,seg3_pixel_count,seg3_percentage,seg3_mean_intensity,seg3_std_intensity,temp_range,temp_cv,temp_above_mean,temp_below_mean,temp_asymmetry,mean_temp_normalized,dominant_segment,segment_entropy,max_segment_coverage,min_segment_coverage,segment_imbalance,segment_intensity_range,intensity_gradient_0_1,intensity_gradient_1_2,intensity_gradient_2_3,mean_segment_intensity,segment_intensity_cv,avg_within_segment_std,max_within_segment_std,temp_skewness_proxy,temp_kurtosis_proxy,seg_first_last_ratio,seg_ratio_0_1,seg_ratio_1_2,seg_ratio_2_3,weighted_intensity_0,weighted_intensity_1,weighted_intensity_2,weighted_intensity_3,total_weighted_intensity,temp_range_seg_imbalance,mean_temp_seg_entropy,temp_change,temp_cumulative_change,temp_change_rate,temp_rolling_mean,temp_rolling_std,frame_position,mean_temp_squared,std_temp_squared,temp_range_squared,mean_temp_sqrt,std_temp_sqrt,segment_gini,segment_herfindahl,cluster_kmeans,cluster_kmeans_name
MOV_01-01-2000_0004,0,132.83415,50.78666,255.0,0.0,wet,1,kmeans,4,77061,25.0849609375,113.41224484499293,12.921252663716816,77335,25.174153645833336,190.61855563457684,13.512093471291212,74976,24.40625,63.29846884336321,23.07200857782399,77828,25.334635416666668,161.63383358174437,11.937104423236928,255.0,0.382331350757141,122.16585,132.83415,-0.0418364705865946,0.5209182352736894,3.0,1.3861934975861048,25.334635416666668,24.40625,0.0092838541666666,127.32008679121364,77.20631078958391,-127.32008679121364,98.33536473838116,132.24077572616932,0.4228274624887854,15.360614784017235,23.07200857782399,0.1050305335879478,5.021003546005781,0.9901449345940116,0.996456972514241,1.0314634011992296,0.9633550903326016,2844.9417317708335,4798.660807291667,1544.8782552083333,4094.934244791667,13283.4150390625,2.367382812500003,184.13383498737727,0.0,0.0,,132.83415,0.0,0,17644.911406222498,2579.2848339556,65025.0,11.525369842221984,7.126475987470946,0.0071858723956537,0.2500502067777845,0,dry
MOV_01-01-2000_0004,30,145.82396,45.073734,255.0,0.0,wet,1,kmeans,4,77103,25.0986328125,136.71644423692982,14.18622295878648,80857,26.320638020833332,189.56193032143167,12.352886926795284,76565,24.923502604166668,172.55841441912102,6.318328054057272,72675,23.6572265625,78.65882352941176,26.11432817323889,255.0,0.3090969001041326,109.17604,145.82396,-0.1437173333276973,0.5718586666442408,1.0,1.3855811708672583,26.320638020833332,23.6572265625,0.0266341145833333,110.90310679201993,52.84548608450186,-17.003515902310653,-93.89959088970926,144.37390312672358,0.3396422203078812,14.742941528219482,26.11432817323889,0.4065329931603774,5.657396832120144,1.0609287921212007,0.953572355772614,1.056056944655625,1.0535259713468963,3431.395833333333,4989.390950520833,4300.760091145834,1860.849609375,14582.396484375,6.791699218749997,202.05093323730023,12.989810000000006,12.989810000000006,12.989810000000006,139.32905499999998,9.18518273732484,1,21264.6273100816,2031.641496702756,65025.0,12.075759189384328,6.71369749095087,0.0204134114578229,0.2503562705569797,1,wet
MOV_01-01-2000_0004,60,137.73244,44.874622,255.0,0.0,wet,1,kmeans,4,80647,26.252278645833332,186.75700274033753,13.563255341336507,75668,24.631510416666664,123.93147697837924,12.130863266132591,77429,25.204752604166668,76.30971599788192,22.813325901182324,73456,23.911458333333332,162.8699765846221,8.71015927972451,255.0,0.3258101141368141,117.26756,137.73244,-0.0802544313694017,0.540127215665093,0.0,1.3857096759622562,26.252278645833332,23.911458333333332,0.023408203125,110.4472867424556,-62.82552576195829,-47.621760980497314,86.56026058674017,137.46704307530518,0.351346132869323,14.304400947093985,22.813325901182324,0.228022867751839,5.682499118169173,1.0978953382470138,1.0658006021998547,0.9772565830629178,1.054086799820552,4902.796875,3052.619466145833,1923.3675130208333,3894.4586588541665,13773.242513020832,5.9690917968749995,190.8571748018909,-8.091520000000003,4.898290000000003,8.091520000000003,138.79684999999998,6.559993707702783,2,18970.2250283536,2013.731699642884,65025.0,11.735946489312228,6.698852289758299,0.0189892578120253,0.2502930832968817,1,wet
MOV_01-01-2000_0004,90,147.18275,43.833565,255.0,0.0,wet,1,kmeans,4,76633,24.945638020833332,137.32082784179138,14.30432016699312,79486,25.874348958333332,190.8157788792995,13.075678645561368,74940,24.39453125,84.19483586869495,25.54787971657973,76141,24.785481770833336,173.55282961873365,6.2912908837492285,255.0,0.297817271365169,107.81725,147.18275,-0.1543745097978676,0.577187254879326,1.0,1.3860594766678629,25.874348958333332,24.39453125,0.0147981770833333,106.62094301060456,53.49495103750811,-106.62094301060456,89.3579937500387,146.47106805212985,0.3217270635787762,14.80479235322086,25.54787971657973,0.4490337483503717,5.817459746699257,1.0064616956578123,0.9641068863747406,1.0606618623887971,0.9842266317721668,3425.5556640624995,4937.234049479166,2053.8935546875,4301.590494791667,14718.273763020832,3.773535156249997,204.0040454395369,9.450310000000002,14.348600000000005,9.450310000000002,143.57971666666666,5.109262263618268,3,21662.7618975625,1921.381420609225,65025.0,12.131889795081392,6.620692184356557,0.0114990234372124,0.2501180051803588,1,wet
MOV_01-01-2000_0004,120,127.63213,49.656136,255.0,0.0,wet,1,kmeans,4,76124,24.779947916666668,62.451119226525144,21.1760566033398,76641,24.9482421875,153.65956863819628,14.720052985037034,77333,25.173502604166664,106.3999068961504,9.505869738262367,77102,25.098307291666664,187.4103914295349,13.486755096220492,255.0,0.3890567053618037,127.36787,127.63213,-0.0010363137254495,0.500518156843117,2.0,1.3862761747640324,25.173502604166664,24.779947916666668,0.0039355468749999,124.95927220300976,91.20844941167113,-47.25966174204588,81.01048453338451,127.48024654760168,0.4284612683797881,14.722183605714925,21.1760566033398,0.0026608997521151,5.135317011952901,0.9873155037439972,0.9932542629857024,0.9910516851739218,1.002996030831729,1547.5354817708337,3833.536132812501,2678.4583333333326,4703.68359375,12763.213541666666,1.003564453124991,176.93338095338572,-19.550619999999995,-5.20201999999999,19.550619999999995,137.51577333333333,9.777110714798782,4,16289.960608336902,2465.7318424504956,65025.0,11.297439090342554,7.046711005852305,0.0033268229165834,0.2500090869267781,0,dry
MOV_01-01-2000_0004,150,127.85698,49.86582,255.0,0.0,wet,1,kmeans,4,76772,24.990885416666668,107.85096128796955,9.964075195226634,79106,25.750651041666668,186.4397770080651,15.072649390867925,77828,25.334635416666668,152.01685768617978,13.346664250268368,73494,23.923828125,60.11448553623425,23.18783600101382,255.0,0.3900124967451904,127.14302,127.85698,-0.002799843137145,0.5013999215489646,1.0,1.3859254372380825,25.750651041666668,23.923828125,0.0182682291666666,126.32529147183088,78.58881572009555,-34.42291932188533,-91.90237214994552,126.60552037961216,0.4325893118432506,15.392806209344188,23.18783600101382,0.0071588113848003,5.113723186520602,1.044602280021632,0.9704952844308444,1.01642082500868,1.0589707998948,2695.2910156249995,4800.945638020833,3851.2916666666665,1438.1686197916663,12785.696940104164,4.6583984375000025,177.20024091044075,0.2248499999999893,-4.977170000000001,0.2248499999999893,134.22395333333336,11.22321022108349,5,16347.407334720398,2486.6000042724,65025.0,11.307386081672457,7.06157347904842,0.0145605468746359,0.2501833686828613,0,dry
MOV_01-01-2000_0004,180,130.60712,50.45063,255.0,0.0,wet,1,kmeans,4,78517,25.558919270833336,61.31439051415617,24.657131294920976,74831,24.359049479166668,161.06812684582593,10.23568313022963,78548,25.569010416666664,116.95059072159698,12.35344459459446,75304,24.513020833333332,186.83160257091257,14.212532845287742,255.0,0.3862777924828081,124.39288,130.60712,-0.0243695686264953,0.5121847842936398,2.0,1.3860374590643336,25.569010416666664,24.359049479166668,0.0120996093749999,125.5172120567564,99.75373633166976,-44.11753612422895,69.88101184931558,131.5411776631229,0.4180868162209566,15.364697966258202,24.657131294920976,0.0615873379457131,5.054446296299086,1.0426670557735216,1.0492576601644614,0.9526786165240836,1.0430787204923593,1567.129557291667,3923.466471354167,2990.310872395833,4579.806966145833,13060.7138671875,3.085400390624991,181.0263607405105,2.750140000000016,-2.227029999999985,2.750140000000016,128.69874333333334,1.6565221118452782,6,17058.219794694403,2545.2660673969,65025.0,11.428347212086267,7.102860691298964,0.0116894531247077,0.2501284129884508,0,dry
MOV_01-01-2000_0004,210,135.86052,46.620808,255.0,0.0,wet,1,kmeans,4,79002,25.716796874999996,187.66928685349737,13.002977411122218,75216,24.484375,72.33184428844926,22.34617082034075,75941,24.720377604166664,163.04097918120647,10.211232437340213,77041,25.078450520833336,117.96438260147194,12.722404832137476,255.0,0.3431519914436399,119.13948,135.86052,-0.0655727058797815,0.5327863529202829,0.0,1.3861221006353095,25.716796874999996,24.484375,0.0123242187499999,115.33744256504812,-115.33744256504812,90.7091348927572,-45.07659657973453,135.25162323115626,0.376460907529463,14.570696375235164,22.34617082034075,0.1793302252120277,5.469660670516552,1.0254539786412171,1.0503350346699332,0.9904531145174976,0.9857218879521114,4826.252929687499,1770.9999999999998,4030.434570312499,2958.363932291667,13586.051432291664,3.142675781249991,188.31926937580553,5.253399999999999,3.026370000000014,5.253399999999999,131.44154,4.066491815459521,7,18458.0808946704,2173.499738572864,65025.0,11.65592209994559,6.827943174924641,0.0101383463539132,0.2500864010069105,1,wet
MOV_01-01-2000_0004,240,129.42441,48.531063,255.0,0.0,wet,1,kmeans,4,75996,24.73828125,111.39392862782252,10.411707462274077,76350,24.853515625,64.25683038637852,21.762737032733423,76895,25.030924479166668,186.69027895181745,15.359784561446876,77959,25.377278645833336,154.33907566797933,12.138292733605493,255.0,0.374976119236319,125.57559,129.42441,-0.0150934117641139,0.5075467058624491,3.0,1.3862477968933606,25.377278645833336,24.73828125,0.0063899739583333,122.43344856543892,-47.137098241443994,122.43344856543892,-32.35120328383812,129.17002840849943,0.411400463733757,14.918130447514969,21.762737032733423,0.0396531598659494,5.254366671248398,0.9748200973595544,0.9953634573598223,0.9929124126340818,0.9863517999166136,2755.6943359375,1597.0081380208337,4673.030273437501,3916.7057291666674,12942.438476562504,1.6294433593750062,179.41430322672304,-6.4361100000000135,-3.4097399999999993,6.4361100000000135,131.96401666666668,3.4258946869442206,8,16750.6779038481,2355.2640759099695,65025.0,11.376484958017569,6.966423975039131,0.0052360026040357,0.2500233249876234,0,dry
MOV_01-01-2000_0004,270,139.89952,45.487343,255.0,0.0,wet,1,kmeans,4,75253,24.496419270833332,128.2161774281424,12.04916819518395,80837,26.314127604166664,188.00086594010168,15.233314986096046,76312,24.841145833333332,76.27829174965929,25.6145840346934,74798,24.348307291666664,164.57803684590496,7.428133715697464,255.0,0.3251429525758814,115.10048,139.89952,-0.0972511372510881,0.5486255686059363,1.0,1.385813063493756,26.314127604166664,24.348307291666664,0.019658203125,111.7225741904424,59.784688511959274,-111.7225741904424,88.29974509624567,139.26834299095208,0.3494453644617598,15.081300232917714,25.6145840346934,0.2725927517303894,5.605955044328274,1.0060830499357354,0.930922720677438,1.059296047377325,1.0202411825003102,3140.837239583333,4947.078776041666,1894.840169270833,4007.1966145833326,13989.952799479164,5.012841796875,193.87458239250597,10.47511,7.0653700000000015,10.47511,135.06148333333334,5.283069853222919,9,19571.8756962304,2069.09837319965,65025.0,11.827912749086376,6.744430517100758,0.0156054687496098,0.2502430462943182,1,wet
